latitude,longitude,rwi,error
10.5850215,-8.2067871,-0.216,0.303
12.5867322,-6.8005371,-0.953,0.301
15.1887835,-11.7443848,-0.334,0.266
14.0193555,-8.2727051,-0.988,0.278
13.7847363,-7.9211426,-0.763,0.273
10.7145865,-6.8664551,-0.891,0.255
12.4580325,-5.2404785,-0.195,0.261
12.1574857,-7.9650879,-0.524,0.279
11.5984314,-6.8444824,-0.776,0.282
13.6780130,-5.0646973,-0.955,0.258
12.7796606,-4.6252441,-0.770,0.258
14.0833011,-3.6364746,-0.662,0.287
10.8656756,-6.5148926,-0.479,0.274
11.0166883,-8.5803223,-0.834,0.267
14.3389038,-7.7893066,-0.443,0.284
14.5304150,-10.8215332,-0.229,0.273
15.8451046,-1.1755371,-0.709,0.246
11.3831090,-5.5920410,0.540,0.286
13.6566625,-4.2956543,-0.344,0.265
12.9510290,-6.2951660,-0.323,0.293
13.5498812,-10.2282715,-0.940,0.260
13.5925995,-8.0749512,-0.784,0.315
15.0615146,-7.2619629,-0.393,0.288
15.1887835,-9.2175293,-0.573,0.273
10.8656756,-6.0974121,-0.602,0.263
12.6081759,-5.1965332,-0.423,0.260
14.3176146,-9.8547363,-0.650,0.321
12.3507339,-8.3605957,-0.430,0.278
13.7207082,-6.2951660,-0.311,0.288
15.5277906,0.5822754,0.029,0.267
12.0715524,-8.3605957,-0.264,0.297
13.8274120,-6.9763184,-0.757,0.294
14.2537350,-4.2297363,-0.303,0.258
12.0715524,-5.9655762,-0.618,0.266
